Year,Total Registered,Reached 1M,Met Country Threshold,Successful,Commission Response,Success Rate (%),Response Rate (%),Failed,Successful No Response
2012,16,3,3,3,3,18.75,18.75,13,0
2013,9,0,0,0,0,0.0,0.0,9,0
2014,5,0,0,0,0,0.0,0.0,5,0
2015,6,0,0,0,0,0.0,0.0,6,0
2016,3,0,0,0,0,0.0,0.0,3,0
2017,8,3,3,3,2,37.5,25.0,5,1
2018,7,1,1,1,1,14.29,14.29,6,0
2019,16,2,2,2,2,12.5,12.5,14,0
2020,5,1,1,1,1,20.0,20.0,4,0
2021,11,1,1,1,1,9.09,9.09,10,0
2022,10,1,2,1,1,10.0,10.0,9,0
2023,11,0,0,0,0,0.0,0.0,11,0
2024,11,4,4,4,0,36.36,0.0,7,4
2025,3,0,0,0,0,0.0,0.0,3,0
